id,speaker,line,addressee,confidence,reasoning,masu_count,desu_count,gozaimasu_count,honorific_verb_count,humble_verb_count,total_polite_count,polite_density
86,千尋,お母さん、あの建物うなってるよ。,お母さん,high,千尋 is pointing out the building to her mother and asking about the strange noise.,0,0,0,0,0,0,0.0000
87,お母さん,風鳴りでしょ？,千尋,high,お母さん is responding to 千尋's question about the noise with an explanation.,0,0,0,0,0,0,0.0000
88,お母さん,気持いいとこねぇ。,group:family,medium,"お母さん is making a general comment about the pleasant location, likely to the family group.",0,0,0,0,0,0,0.0000
89,お母さん,車の中のサンドイッチ持って来ればよかった。,self,high,お母さん is expressing regret in a self-directed thought about not bringing food.,0,0,0,0,0,0,0.0000
90,お父さん,川を造ろうとしたんだね。,group:family,medium,"お父さん is making an observation about the location's purpose, likely addressed to family members.",0,0,0,0,0,0,0.0000
91,お父さん,ん？,self,high,"Exclamation in response to noticing a smell, directed at no one in particular.",0,0,0,0,0,0,0.0000
92,お父さん,何かにおわない？,group:family,high,Father asking a general question to his family members nearby.,0,0,0,0,0,0,0.0000
93,お父さん,ほら、うまそうなにおいがする。,group:family,high,Father pointing out and sharing an observation with his family.,0,0,0,0,0,0,0.0000
94,お母さん,あら、ホントね。,お父さん,high,Mother responding affirmatively to father's observation about the smell.,0,0,0,0,0,0,0.0000
95,お父さん,まだやってるのかもしれないよ、ここ。,group:family,high,Father speculating about the location to his family members.,0,0,0,0,0,0,0.0000
96,お母さん,千尋、早くしなさい。,千尋,high,Mother directly addressing Chihiro by name to hurry her along.,0,0,0,1,0,1,0.1000
97,千尋,待ってー！,group:family,high,Chihiro calling out to her parents as she catches up.,0,0,0,0,0,0,0.0000
98,お父さん,こっちだ。,group:family,high,Father directing the group to follow him in a particular direction.,0,0,0,0,0,0,0.0000
99,お母さん,あきれた。これ全部食べ物屋よ。,group:family,high,Mother expressing surprise to her family about the discovery of food stalls.,0,0,0,0,0,0,0.0000
100,千尋,誰もいないね。,group:family,high,Chihiro commenting to her family about the absence of people.,0,0,0,0,0,0,0.0000
101,お父さん,ん？,self,high,Questioning exclamation to himself upon noticing something.,0,0,0,0,0,0,0.0000
102,お父さん,あそこだ！,group:family,high,Directing family members to look at a location he spots.,0,0,0,0,0,0,0.0000
103,お父さん,おーい！おーい！,unknown,medium,"Calling out to someone unseen, likely trying to get attention of restaurant staff or inhabitants.",0,0,0,0,0,0,0.0000
104,お父さん,こっちこっち。,group:family,high,Directing family members to follow him to a specific location.,0,0,0,0,0,0,0.0000
105,お母さん,わぁ、すごいわね！,group:family,high,Responding in wonder about the surroundings to family members present.,0,0,0,0,0,0,0.0000
106,お父さん,すみませーん！どなたかいませんかー？,unknown,high,Politely calling out to request service from an unseen restaurant worker or staff member.,2,0,0,0,0,2,0.1111
107,千尋,千尋もおいで。おいしそうよ。,千尋,high,Mother directly addressing Chihiro by name to invite her to look at food.,0,0,0,0,0,0,0.0000
108,お父さん,すみませーん！,unknown,high,Repeating a polite call for service to unseen staff.,1,0,0,0,0,1,0.1429
109,お母さん,いいわよ。そのうち来たら、お金を払えばいいんだから。,千尋,high,Mother addressing Chihiro directly about paying later when someone arrives.,0,0,0,0,0,0,0.0000
110,お父さん,そうだな。,お母さん,high,Father agreeing with mother's statement about payment.,0,0,0,0,0,0,0.0000
111,お父さん,そっちにいいやつが…。,お母さん,high,お父さん is pointing out food to his wife who is eating nearby.,0,0,0,0,0,0,0.0000
112,お母さん,これ、何ていう鳥かしら？,self,high,お母さん is wondering aloud to herself about what kind of bird she's eating.,0,0,0,0,0,0,0.0000
113,お母さん,おいしい！千尋、すっごくおいしいよ。,千尋,high,お母さん is directly addressing 千尋 by name and trying to convince her to eat.,0,0,0,0,0,0,0.0000
114,千尋,いらない！,お母さん,high,千尋 is refusing the food that お母さん just offered her.,0,0,0,0,0,0,0.0000
115,千尋,ねえ、帰ろう。お店の人に怒られるよ。,group:parents,high,千尋 is pleading with both parents to leave because she's worried about the shop owner.,0,0,0,0,0,0,0.0000
116,お父さん,大丈夫、お父さんがついてるんだから。,千尋,high,お父さん is reassuring his daughter that it's okay because he's there with her.,0,0,0,0,0,0,0.0000
117,お父さん,カードも財布も持ってるし。,千尋,high,お父さん continues reassuring 千尋 by mentioning he has credit card and wallet.,0,0,0,0,0,0,0.0000
118,お母さん,千尋も食べな。骨までやわらかいよ。,千尋,high,お母さん is directly addressing 千尋 and encouraging her to eat the food.,0,0,0,0,0,0,0.0000
119,お父さん,からし。,お母さん,high,お父さん is requesting mustard and handing it to his wife.,0,0,0,0,0,0,0.0000
120,お母さん,ありがとう。,お父さん,high,お母さん is thanking お父さん for passing her the mustard.,0,0,0,0,0,0,0.0000
121,千尋,お母さん！お父さん！,group:parents,high,千尋 is calling out to both her parents in succession.,0,0,0,0,0,0,0.0000
122,千尋,変なの…。,self,high,Internal observation expressed as a comment to herself about something strange.,0,0,0,0,0,0,0.0000
123,千尋,電車だ！,self,high,Expression of realization/discovery spoken aloud to herself.,0,0,0,0,0,0,0.0000
124,ハク,ハっ…。,self,high,"ハク makes a surprised sound/intake of breath, not directed at anyone.",0,0,0,0,0,0,0.0000
125,千尋,ん？,ハク,high,千尋 responds with a questioning sound directly after ハク's exclamation.,0,0,0,0,0,0,0.0000
126,ハク,ここへ来てはいけない！すぐ戻れ！,千尋,high,ハク is warning and commanding 千尋 to leave immediately.,0,0,0,0,0,0,0.0000
127,千尋,えっ？,ハク,high,千尋 expresses confusion/surprise in response to ハク's urgent warning.,0,0,0,0,0,0,0.0000
128,ハク,じきに夜になる。その前に早く戻れ！,千尋,high,ハク continues urgently commanding 千尋 to leave before nightfall.,0,0,0,0,0,0,0.0000
129,ハク,もう明かりが入った。急いで！,千尋,high,ハク continues urgent commands to 千尋 to hurry.,0,0,0,0,0,0,0.0000
130,ハク,私が時間をかせぐ。川の向こうへ走れ！,千尋,high,"ハク gives final instructions to 千尋, explaining his plan and where she should run.",0,0,0,0,0,0,0.0000
131,千尋,何よ？あいつ。,self,high,Chihiro is expressing her confusion about Haku's behavior to herself.,0,0,0,0,0,0,0.0000
132,千尋,お父さーん！,お父さん,high,Chihiro is calling out to her father by name.,0,0,0,0,0,0,0.0000
133,千尋,お父さん、帰ろう！,お父さん,high,Chihiro is directly addressing her father with an imperative to go home.,0,0,0,0,0,0,0.0000
134,千尋,帰ろう、お父さん！,お父さん,high,Chihiro is directly addressing her father with the imperative to return home.,0,0,0,0,0,0,0.0000
135,千尋,あーっ！,self,high,Chihiro is expressing a reaction of shock or fear to herself.,0,0,0,0,0,0,0.0000
136,千尋,うわー！！キャー！！,self,high,Chihiro is screaming in fear or surprise as a reflexive expression.,0,0,0,0,0,0,0.0000
137,千尋,お父さーん！お母さーん！,group:parents,high,Chihiro is calling out to both her father and mother in panic.,0,0,0,0,0,0,0.0000
138,千尋,お母さーん！,お母さん,high,Chihiro is calling out to her mother by name.,0,0,0,0,0,0,0.0000
139,千尋,水だ！,self,high,"Chihiro is making an observation about water, likely to herself in shock or realization.",0,0,0,0,0,0,0.0000
140,千尋,ウソ…。,self,high,Chihiro is expressing disbelief or denial to herself about what she is witnessing.,0,0,0,0,0,0,0.0000
141,千尋,夢だ！夢だ！,self,high,"Chihiro is talking to herself, trying to convince herself she's dreaming.",0,0,0,0,0,0,0.0000
142,千尋,覚めろ！覚めろ！覚めろ！,self,high,Chihiro is commanding herself to wake up from what she believes is a dream.,0,0,0,0,0,0,0.0000
143,千尋,覚めて…。,self,high,Chihiro is pleading with herself to wake up.,0,0,0,0,0,0,0.0000
144,千尋,これは夢だ。夢だ。,self,high,Chihiro is reassuring herself by repeating that this is a dream.,0,0,0,0,0,0,0.0000
145,千尋,みんな消えろ。消えろ。消えろ！,self,high,"Chihiro is commanding herself to make everything disappear, internal monologue.",0,0,0,0,0,0,0.0000
146,千尋,ああっ！透けてる！,self,high,Chihiro is reacting in alarm to noticing her own body becoming transparent.,0,0,0,0,0,0,0.0000
147,千尋,ああ！,self,high,Chihiro is expressing fear as she notices she is disappearing.,0,0,0,0,0,0,0.0000
148,千尋,夢だ！絶対夢だ！,self,high,Chihiro is trying to convince herself again that this must be a dream.,0,0,0,0,0,0,0.0000
149,千尋,ギャー！,self,high,Chihiro is screaming in panic at her fading body.,0,0,0,0,0,0,0.0000
150,千尋,ハっ！,self,high,"Chihiro is gasping, likely reacting to a sudden realization or change.",0,0,0,0,0,0,0.0000
151,ハク,怖がるな。私はそなたの味方だ。,千尋,high,"Hakk is speaking directly to Chihiro who is afraid, addressing her with 'そなた' (you).",0,0,0,0,0,0,0.0000
152,千尋,イヤ。イヤ！イヤ！,self,high,"Chihiro is repeating 'No' to herself in distress, not directed at another character.",0,0,0,0,0,0,0.0000
153,ハク,口を開けて。これを早く。,千尋,high,Haku is giving direct commands to Chihiro to open her mouth and eat quickly.,0,0,0,0,0,0,0.0000
154,ハク,この世界のものを食べないと、そなたは消えてしまう。,千尋,high,Haku is explaining the consequences to Chihiro using 'そなた' (you) and explaining what will happen to her specifically.,0,0,0,0,0,0,0.0000
155,千尋,イヤ！,self,high,"Chihiro is expressing her refusal, not addressing anyone in particular.",0,0,0,0,0,0,0.0000
156,千尋,あっ！,self,high,"Chihiro is making a surprised utterance, an interjection not directed at anyone.",0,0,0,0,0,0,0.0000
157,ハク,大丈夫。食べても豚にはならない。,千尋,high,"Haku is reassuring Chihiro directly, responding to her fears about the food.",0,0,0,0,0,0,0.0000
158,ハク,かんでのみなさい。,千尋,high,Haku is giving a direct command to Chihiro to chew and swallow.,0,0,0,1,0,1,0.1111
159,ハク,いい子だ。もう大丈夫。,千尋,high,Haku is praising and reassuring Chihiro directly after she eats.,0,0,0,0,0,0,0.0000
160,ハク,触ってごらん。,千尋,high,"Haku is giving a direct command to Chihiro to touch something, using imperative form.",0,0,0,0,0,0,0.0000
161,千尋,触れる…。,self,high,Chihiro is expressing her own realization about being able to touch things.,0,0,0,0,0,0,0.0000
162,ハク,ねっ？,千尋,high,"Haku is confirming to Chihiro that she can touch things, using 'ねっ?' as a rhetorical question directed at her.",0,0,0,0,0,0,0.0000
163,ハク,さっ、おいで。,千尋,high,Haku is instructing Chihiro to come with him using 'おいで' (come here).,0,0,0,0,0,0,0.0000
164,千尋,お父さんとお母さんは？どこ？,ハク,high,Chihiro is asking Haku about the whereabouts of her parents.,0,0,0,0,0,0,0.0000
165,千尋,豚なんかになってないよね？,ハク,high,Chihiro is continuing to address Haku with her worried question about her parents becoming pigs.,0,0,0,0,0,0,0.0000
166,ハク,今は無理だが、必ず会えるよ。,千尋,high,Haku is reassuring Chihiro about her parents' fate.,0,0,0,0,0,0,0.0000
167,ハク,静かに。,千尋,high,Haku is instructing Chihiro to be quiet in response to her anxious questions.,0,0,0,0,0,0,0.0000
168,ハク,そなたを捜しているのだ。,千尋,high,Haku is explaining to Chihiro that someone is searching for her.,0,0,0,0,0,0,0.0000
169,ハク,時間がない。走ろう！,千尋,high,Haku is urging Chihiro to run with him.,0,0,0,0,0,0,0.0000
170,千尋,ああ！立てない！どうしよう？,ハク,high,Chihiro is addressing Haku with her problem that she cannot stand up.,0,0,0,0,0,0,0.0000
171,千尋,力が入んない。,self,high,千尋 is commenting on her own physical state.,0,0,0,0,0,0,0.0000
172,ハク,落ち着いて。深く息を吸ってごらん。,千尋,high,ハク is giving direct instructions to 千尋 to help her calm down.,0,0,0,0,0,0,0.0000
173,ハク,そなたの内なる風と水の名において…解き放て。,千尋,high,ハク is casting a spell to help 千尋 using incantation directed at her.,0,0,0,0,0,0,0.0000
174,ハク,立って！,千尋,high,ハク is commanding 千尋 to stand up.,0,0,0,0,0,0,0.0000
175,千尋,あっ！ああ！,self,high,千尋 is reacting with exclamations to successfully standing up.,0,0,0,0,0,0,0.0000
176,ハク,橋を渡る間、息をしてはいけないよ。,千尋,high,ハク is giving 千尋 instructions about holding her breath while crossing the bridge.,0,0,0,0,0,0,0.0000
177,ハク,ちょっとでも吸ったり吐いたりすると、術が解けて、店の者に気づかれてしまう。,千尋,high,ハク is continuing to explain the consequences to 千尋 of not following the instruction.,0,0,0,0,0,0,0.0000
178,千尋,怖い。,self,high,千尋 is expressing her own emotion of fear.,0,0,0,0,0,0,0.0000
179,ハク,心を静めて。,千尋,high,ハク is giving 千尋 reassurance and instruction to calm her mind.,0,0,0,0,0,0,0.0000
180,蛙男,いらっしゃいませ。,group:bathhouse visitors,high,蛙男 is greeting customers arriving at the bathhouse counter.,1,0,0,1,0,1,0.1111
181,蛙男,お早いお着きで。,ハク,high,蛙男 greets the arriving customer (ハク) with a polite acknowledgment of early arrival.,0,0,0,0,0,0,0.0000
182,蛙男,いらっしゃいませ。いらっしゃいませ。,group:arriving guests,high,Generic welcoming phrase repeated to greet incoming customers at the bathhouse entrance.,2,0,0,2,0,2,0.1111
183,ハク,所用からの戻りだ。,蛙男,high,"ハク responds to the 蛙男's greeting, explaining his status as a returning employee.",0,0,0,0,0,0,0.0000
184,蛙男,へい！お戻りくださいませ。,ハク,high,"蛙男 acknowledges ハク's return with formal respect, addressing him directly.",1,0,0,1,0,1,0.0769
185,ハク,深く吸って…,千尋,high,ハク gives breathing instructions to 千尋 as she crosses the bridge.,0,0,0,0,0,0,0.0000
186,ハク,… 止めて。,千尋,high,ハク continues instructing 千尋 to hold her breath while crossing.,0,0,0,0,0,0,0.0000
187,湯女,いらっしゃーい！お待ちしてましたよ！,ハク,high,"湯女 enthusiastically greets ハク, showing they were expecting his return.",1,0,0,0,0,1,0.0556
188,ハク,しっかり。もう少し…。,千尋,high,ハク encourages 千尋 to hold steady and almost finish crossing the bridge.,0,0,0,0,0,0,0.0000
189,青蛙,ハク様ー！,ハク,high,"青蛙 calls out to ハク using the honorific title, showing recognition and greeting.",0,0,0,0,0,0,0.0000
190,青蛙,どこへ行っておった？,ハク,high,"青蛙 addresses ハク directly, questioning his whereabouts.",0,0,0,0,0,0,0.0000
191,千尋,わっ！,self,high,Exclamation of surprise or reaction to being discovered.,0,0,0,0,0,0,0.0000
192,青蛙,ゲっ？人か？,self,high,"青蛙 is reacting in surprise upon spotting 千尋, speaking to himself.",0,0,0,0,0,0,0.0000
193,ハク,走れ！,千尋,high,ハク is directly commanding 千尋 to run away from danger.,0,0,0,0,0,0,0.0000
194,湯女たち,あーれー！,group:bathhouse workers,high,湯女たち (multiple bath workers) are reacting in unison to the commotion.,0,0,0,0,0,0,0.0000
195,湯女たち,イヤーン！,group:bathhouse workers,high,湯女たち are continuing their collective reaction of fear or surprise.,0,0,0,0,0,0,0.0000
196,青蛙,ん？,self,medium,"青蛙 is making a questioning sound, possibly to himself as he processes what he detected.",0,0,0,0,0,0,0.0000
197,兄役,ハク様！ハク様！,ハク,high,"兄役 is calling out to ハク directly, addressing him by title.",0,0,0,0,0,0,0.0000
198,兄役,ええい？におわぬか？人が入り込んだぞ！,group:bathhouse workers,high,兄役 is alerting other staff members that a human has entered the bathhouse.,0,0,0,0,0,0,0.0000
199,兄役,人くさいぞ！人くさいぞ！,group:bathhouse workers,high,兄役 continues alerting staff about detecting human scent.,0,0,0,0,0,0,0.0000
200,ハク,感づかれたな。,self,high,ハク is making an internal observation that their presence has been detected.,0,0,0,0,0,0,0.0000
201,千尋,ごめん。私、息しちゃった。,ハク,high,千尋 is apologizing to ハク for breathing and being detected.,0,0,0,0,0,0,0.0000
202,ハク,いや、千尋はよく頑張った。,千尋,high,ハク is reassuring 千尋 that she did well.,0,0,0,0,0,0,0.0000
203,ハク,これからどうするか話すからよくお聞き。,千尋,high,"ハク is addressing 千尋 directly, asking her to listen carefully.",0,0,0,0,0,0,0.0000
204,ハク,ここにいては必ず見つかる。,千尋,high,ハク is explaining the situation to 千尋 about staying here.,0,0,0,0,0,0,0.0000
205,ハク,私が行ってごまかすから、そのすきに千尋はここを抜け出して…。,千尋,high,ハク is instructing 千尋 on what to do while he distracts others.,0,0,0,0,0,0,0.0000
206,千尋,イヤ！行かないで！,ハク,high,千尋 is protesting and pleading with ハク not to leave.,0,0,0,0,0,0,0.0000
207,千尋,ここにいて！お願い！,ハク,high,千尋 is begging ハク to stay with her.,0,0,0,0,0,0,0.0000
208,ハク,この世界で生き延びるためにはそうするしかないんだ。,千尋,high,"ハク is explaining to 千尋 why he must leave, addressing her directly.",0,0,0,0,0,0,0.0000
